job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/chef-de-cuisine-at-goodwin-recruiting-3805761853,2024-01-21 07:12:35.170823+00,t,t,f,Chef de Cuisine,Goodwin Recruiting,"Brookfield, WI",1/14/2024,Milwaukee,United States,Sous Chef,Mid senior,Onsite
https://www.linkedin.com/jobs/view/test-conductor-space-systems-at-northrop-grumman-3795910227,2024-01-21 06:01:19.472942+00,t,t,f,Test Conductor  Space Systems,Northrop Grumman,"Gilbert, AZ",1/15/2024,Chandler,United States,Conductor,Mid senior,Onsite
https://mx.linkedin.com/jobs/view/sewer-at-stryker-3682088743,2024-01-21 02:01:09.882561+00,t,t,f,Sewer,Stryker,"Tijuana, Baja California, Mexico",1/15/2024,Coronado,United States,Costumer,Associate,Onsite
https://www.linkedin.com/jobs/view/builder-territory-manager-seattle-wa-at-shaw-industries-3787104995,2024-01-21 06:01:12.676071+00,t,t,f,Builder Territory Manager,Shaw Industries,"Seattle, WA",1/16/2024,Bellevue,United States,Exhibit Builder,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ct-technologist-at-atlas-medstaff-3805737619,2024-01-21 06:01:13.520931+00,t,t,f,Travel Allied Health Professional CT Technologist,Atlas MedStaff,"Tacoma, WA",1/14/2024,Tacoma,United States,Nuclear Medicine Technologist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/property-manager-at-knight-dragon-ltd-3805009895,2024-01-21 06:01:13.56896+00,t,t,f,Property Manager,Knight Dragon Ltd,"Royal Borough of Greenwich, England, United Kingdom",1/14/2024,Basildon,United Kingdom,River,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/senior-hand-therapist-at-hays-3796707365,2024-01-21 06:01:13.728151+00,t,t,f,Hand Therapist,Hays,"Milton Keynes, England, United Kingdom",1/14/2024,Northampton,United Kingdom,Occupational Therapist,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/bombardier-agent-de-s%C3%A9curit%C3%A9-at-securitas-canada-3719124321,2024-01-21 06:01:13.73724+00,t,t,f,Agent De Securite,Securitas Canada,"Montreal, Quebec, Canada",1/14/2024,Côte-Saint-Luc,Canada,Safety Manager,Mid senior,Onsite
https://www.linkedin.com/jobs/view/kitchen-prep-at-bob-evans-restaurants-llc-3803187020,2024-01-21 06:01:14.503312+00,t,t,f,Kitchen Prep,"Bob Evans Restaurants, LLC","Westminster, MD",1/14/2024,Emmitsburg,United States,Chef,Associate,Onsite
https://www.linkedin.com/jobs/view/rn-part-time-pediatric-icu-at-atrium-health-wake-forest-baptist-3615282471,2024-01-21 06:01:14.682336+00,t,t,f,Registered Nurse,Atrium Health Wake Forest Baptist,"Winston-Salem, NC",1/14/2024,High Point,United States,Nurse School,Mid senior,Onsite
https://www.linkedin.com/jobs/view/cheese-specialist-at-safeway-3742784971,2024-01-21 06:01:14.692423+00,t,t,f,Cheese Specialist,Safeway,"Mount Airy, MD",1/14/2024,Frederick,United States,Special Effects Specialist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/rn-at-bon-secours-mercy-health-3781018201,2024-01-21 06:01:14.789346+00,t,t,f,Registered Nurse,Bon Secours Mercy Health,"Oregon, OH",1/16/2024,Toledo,United States,Research Associate,Mid senior,Onsite
https://www.linkedin.com/jobs/view/paes-schools-counselor-sy-23-24-at-aztec-municipal-school-district-3621760148,2024-01-21 06:01:14.854291+00,t,t,f,School Counselor,Aztec Municipal School District,"Aztec, NM",1/14/2024,New Mexico,United States,Counselor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sales-lead-slpt-lane-bryant-at-lane-bryant-3785216562,2024-01-21 06:01:15.033211+00,t,t,f,Sales Lead ,Lane Bryant,"College Station, TX",1/14/2024,College Park,United States,Change Person,Mid senior,Onsite
https://www.linkedin.com/jobs/view/retail-district-manager-unassigned-at-dollar-general-3745485556,2024-01-21 07:12:35.189652+00,t,t,f,Retail District Manager,Dollar General,"Newport, NH",1/14/2024,New Hampshire,United States,Pressure Supervisor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/asset-wealth-management-%E2%80%93-regulated-investment-company-%E2%80%93-tax-senior-associate-at-pwc-3693032519,2024-01-21 07:12:35.384792+00,t,t,f,Tax Associate Asset Wealth Management,PwC,"Sacramento, CA",1/14/2024,Davis,United States,Manager Records Analysis,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-rn-med-surg-at-rnnetwork-3802701170,2024-01-21 07:12:35.740031+00,t,t,f,Travel Nurse RN Home Health,RNnetwork,"Billings, MT",1/14/2024,Billings,United States,Manager Benefits,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-experience-design-manager-learn-and-help-at-adobe-3734501806,2024-01-21 07:12:36.069828+00,t,t,f,Experience Design Manager,Adobe,"New York, NY",1/15/2024,Bayonne,United States,Cost-And-Sales-Record Supervisor,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/coordonnateur-diversit%C3%A9-%C3%A9quit%C3%A9-et-inclusion-at-ey-3804703972,2024-01-21 07:12:36.508556+00,t,t,f,Diversity Coordinator,EY,"Dieppe, New Brunswick, Canada",1/15/2024,New Brunswick,Canada,Container Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/assistant-salon-manager-cornelius-gateway-at-jobs-for-humanity-3805265687,2024-01-21 07:12:36.739562+00,t,t,f,Assistant Salon Manager ,Jobs for Humanity,"Cornelius, OR",1/14/2024,Newberg,United States,Barber,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-rn-long-term-care-at-coremedical-group-3803578084,2024-01-21 07:12:37.537623+00,t,t,f,Travel Nurse RN Home Health,CoreMedical Group,"Barnstable, MA",1/14/2024,Barnstable,United States,Nurse Head,Mid senior,Onsite
https://www.linkedin.com/jobs/view/manufacturing-engineer-ii-machine-shop-r38097-at-blue-origin-3784904292,2024-01-21 07:12:37.754491+00,t,t,f,Manufacturing Engineer,BLUE ORIGIN,"Merritt Island, FL",1/14/2024,Cocoa Beach,United States,Central-Office Equipment Engineer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/income-tax-preparer-2%2Byrs-paid-tax-experience-required-at-jobs-for-humanity-3786027245,2024-01-21 07:12:34.019868+00,t,t,f,Income Tax Preparer,Jobs for Humanity,"Omaha, NE",1/14/2024,Nebraska,United States,Tax Clerk,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-technical-program-manager-technology-governance-at-coinbase-3781129958,2024-01-19 09:45:09.215838+00,f,f,f, Technical Program Manager,Coinbase,"Washington, DC",1/17/2024,Saint Charles,United States,Supervisor Mapping,Mid senior,Onsite
https://www.linkedin.com/jobs/view/triage-rn-michigan-heart-aa-office-at-trinity-health-3705247651,2024-01-19 14:39:50.208885+00,t,t,f,Triage Registered Nurse,Trinity Health,"Ypsilanti, MI",1/15/2024,Monroe,United States,Cardiologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/finance-manager-at-aston-carter-3800151766,2024-01-19 14:39:50.288894+00,t,t,f,Finance Manager,Aston Carter,"Southlake, TX",1/17/2024,Corinth,United States,Supervisor Line Department,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ultrasound-technologist-registered-at-opelousas-general-health-system-3750027666,2024-01-19 14:39:50.450851+00,t,t,f,Ultrasound Technologist,Opelousas General Health System,"Opelousas, LA",1/14/2024,Lafayette,United States,Manager Employment,Mid senior,Onsite
https://www.linkedin.com/jobs/view/licensed-clinical-psychologist-outpatient-woodburn-or-at-lifestance-health-3802015036,2024-01-19 14:39:51.418106+00,t,t,f,Licensed Clinical Psychologist,LifeStance Health,"Woodburn, OR",1/15/2024,Beaverton,United States,Clinical Psychologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/department-manager-up-to-%2437-000-yr-at-mcdonald-s-3787723047,2024-01-19 14:39:52.158156+00,t,t,f,Department Manager,McDonald's,"Anderson, SC",1/14/2024,Anderson,United States,Manager Department,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-hardware-simulation-platform-engineer-chassis-controls-powertrain-at-tesla-3737832096,2024-01-19 09:45:09.215838+00,f,f,f,Senior Hardware Simulation Engineer,Tesla,"Palo Alto, CA",1/16/2024,Alameda,United States,Processor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/litigation-attorney-at-jobot-3806136981,2024-01-19 09:45:09.215838+00,f,f,f,Litigation Attorney,Jobot,"Mount Dora, FL",1/17/2024,Grand Island,United States,Tax Attorney,Mid senior,Onsite
https://www.linkedin.com/jobs/view/development-services-technician-at-county-of-san-joaquin-3769465536,2024-01-19 14:39:08.158402+00,t,t,f,Development Services Technician,County of San Joaquin,"Stockton, CA",1/14/2024,Lawton,United States,Reproduction Technician,Associate,Onsite
https://www.linkedin.com/jobs/view/employment-attorney-with-relevant-experience-at-bcg-attorney-search-3645762689,2024-01-19 14:39:08.232594+00,t,t,f,Employment Attorney ,BCG Attorney Search,"Flagstaff, AZ",1/16/2024,Arizona,United States,Lawyer Criminal,Mid senior,Onsite
https://www.linkedin.com/jobs/view/designer-i-at-us-tech-solutions-3806342219,2024-01-19 14:39:05.553528+00,t,t,f,Designer,US Tech Solutions,"Miami, FL",1/17/2024,Coral Gables,United States,Tattoo Artist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/superintendent-process-engineer-at-nutrien-3806856954,2024-01-19 14:39:06.873327+00,t,t,f, Process Engineer,Nutrien,"Augusta, GA",1/16/2024,Martinez,United States,Foundry Metallurgist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/regional-sales-manager-mid-atlantic-at-alfasigma-usa-inc-3806588517,2024-01-19 14:39:07.377973+00,t,t,f,Regional Sales Manager,"Alfasigma USA, Inc.","Charlotte, NC",1/15/2024,Ridgewood,United States,Director Of Religious Activities,Mid senior,Onsite
https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03500-at-sally-beauty-3702780359,2024-01-19 14:39:09.618801+00,t,t,f,Beauty Advisor,Sally Beauty,"Marysville, OH",1/15/2024,Marysville,United States,Counter Supervisor,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/cibc-analyste-principal-int%C3%A9gration-des-clients-et-soutien-aux-ventes-grandes-entreprises-groupe-entreprises-montr%C3%A9al-bilingue-at-cibc-3745397691,2024-01-19 14:39:10.337464+00,t,t,f,Senior Analyst,CIBC,"Montreal, Quebec, Canada",1/16/2024,Dorval,Canada,Occupational Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/site-supervisor-at-providence-medical-group-dayton-oh-3739810604,2024-01-19 14:39:28.448734+00,t,t,f,Site Supervisor,"Providence Medical Group, Dayton, OH","Germantown, OH",1/14/2024,Xenia,United States,Supervisor Inspection,Mid senior,Onsite
https://www.linkedin.com/jobs/view/office-manager-primary-care-at-hartford-healthcare-3779848970,2024-01-21 06:01:12.764554+00,t,t,f,Office Manager,Hartford HealthCare,"Norwich, CT",1/14/2024,Windham,United States,Administrative Assistant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ambassador-at-jeni-s-splendid-ice-creams-3799704705,2024-01-21 06:01:12.95186+00,t,t,f,Ambassador,Jeni's Splendid Ice Creams,"Bethesda, MD",1/16/2024,Washington,United States,Goodwill Ambassador,Mid senior,Onsite
https://www.linkedin.com/jobs/view/surgical-sales-representative-at-vantage-surgical-solutions-3800722967,2024-01-21 06:01:13.368912+00,t,t,f,Surgical Sales Representative,VANTAGE Surgical Solutions,"Albany, GA",1/16/2024,Georgia,United States,Handle Maker,Associate,Onsite
https://uk.linkedin.com/jobs/view/ct-technologist-at-host-healthcare-inc-3806801539,2024-01-21 06:01:14.166308+00,t,t,f,CT Technologist,"Host Healthcare, Inc.","Elsworth, England, United Kingdom",1/16/2024,Peterborough,United Kingdom,Radiation-Therapy Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/electrical-engineer-23-01066-at-espo-corporation-3270339955,2024-01-21 06:01:15.652901+00,t,t,f,Electrical Engineer,ESPO Corporation,"Rockford, IL",1/14/2024,Belvidere,United States,Civil Engineer,Associate,Onsite
https://www.linkedin.com/jobs/view/quality-engineer-aerospace-at-daher-3802116488,2024-01-21 06:01:15.915893+00,t,t,f,Quality Engineer,DAHER,"Stuart, FL",1/14/2024,Florida,United States,Industrial Engineer,Associate,Onsite
https://www.linkedin.com/jobs/view/juice-barista-part-time-at-wis-international-3732414071,2024-01-19 14:39:31.638303+00,t,t,f,Juice Barista,WIS International,"Southgate, MI",1/14/2024,Monroe,United States,Bartender,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/assignment-coordinator-casual-at-paramed-home-health-care-3802432316,2024-01-19 09:45:09.215838+00,f,f,f,Assignment Coordinator,ParaMed Home Health Care,"North York, Ontario, Canada",1/16/2024,North York,Canada,Prize Coordinator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/travel-allied-health-professional-ct-technologist-at-aureus-medical-group-3802593504,2024-01-19 14:39:09.772798+00,t,t,f, CT Technologist,Aureus Medical Group,"Hackensack, NJ",1/14/2024,White Plains,United States,Nuclear Medicine Technologist,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/staff-nurse-at-recruitment-panda-ltd-3687952455,2024-01-19 14:39:33.078029+00,t,t,f,Staff Nurse,Recruitment Panda Ltd,"Tavistock, England, United Kingdom",1/14/2024,Plymouth,United Kingdom,Christian Science Nurse,Mid senior,Onsite
https://www.linkedin.com/jobs/view/pediatric-critical-care-nurse-practitioner-needed-for-locum-tenens-coverage-at-facility-in-iowa-city-iowa-at-locumtenens-com-3752895025,2024-01-19 14:39:33.128171+00,t,t,f,Pediatric Critical Care Nurse Practitioner,LocumTenens.com,"Iowa City, IA",1/16/2024,Amana Colonies,United States,Medical Physicist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/cable-installer-at-jobs-for-humanity-3805387781,2024-01-19 14:39:33.318034+00,t,t,f,Cable Installer,Jobs for Humanity,"Santa Claus, IN",1/15/2024,Indiana,United States,Cable Television Installer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/permanent-physician-family-practice-at-comphealth-3778107763,2024-01-19 14:39:33.371145+00,t,t,f, Family Practice Physician,CompHealth,"Modesto, CA",1/14/2024,Modesto,United States,Family Practitioner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/lead-based-loan-originator-at-certified-mobile-notary-service-3793217319,2024-01-19 14:39:33.567988+00,t,t,f, Loan Originator,Certified Mobile Notary Service,"Seattle, WA",1/16/2024,Summit,United States,Handle Maker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/customer-service-representative-at-david-s-bridal-3785648235,2024-01-19 14:39:34.270117+00,t,t,f,Customer Service Representative,David's Bridal,"Maple Shade, NJ",1/14/2024,Winslow,United States,Service Representative,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-ii-acute-care-at-bassett-healthcare-at-health-ecareers-3787583796,2024-01-19 14:39:34.685084+00,t,t,f,Registered Nurse,Health eCareers,"Cooperstown, NY",1/14/2024,Herkimer,United States,Nurse Practitioner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/endodontist-at-sonrava-health-3668709907,2024-01-19 14:39:34.81272+00,t,t,f,Endodontist,Sonrava Health,"Gainesville, FL",1/16/2024,Gainesville,United States,Endodontist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-personal-banker-at-minnesota-bank-trust-a-division-of-htlf-bank-3792787260,2024-01-19 14:39:35.029729+00,t,t,f,Senior Personal Banker,"Minnesota Bank & Trust, a division of HTLF Bank","Edina, MN",1/14/2024,Minneapolis,United States,Teller,Mid senior,Onsite
https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03815-at-sally-beauty-3702776876,2024-01-19 14:39:35.295785+00,t,t,f,Beauty Advisor,Sally Beauty,"Atwater, CA",1/15/2024,Merced,United States,Counter Supervisor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/clinical-case-manager-bbs-registered-ccm-at-caminar-inc-3788594657,2024-01-19 14:39:35.392444+00,t,t,f,Clinical Case Manager,"Caminar, Inc.","Vallejo, CA",1/14/2024,Novato,United States,Retirement Officer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/lead-sales-associate-pt-at-dollar-general-3683979372,2024-01-19 14:39:35.883985+00,t,t,f,Sales Associate,Dollar General,"Savannah, GA",1/14/2024,Savannah,United States,Sales Attendant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/survey-crew-chief-michigan-at-ohm-advisors-3805727731,2024-01-19 14:39:39.628919+00,t,t,f,Survey Crew Chief,OHM Advisors,"Ann Arbor, MI",1/14/2024,Waterloo,United States,Supervisor Line,Mid senior,Onsite
https://www.linkedin.com/jobs/view/volunteer-emergency-department-volunteer-ambassador-at-volunteermatch-3803961868,2024-01-19 09:45:09.215838+00,f,f,f,Volunteer Ambassador,VolunteerMatch,"Huntington, NY",1/16/2024,Bridgeport,United States,Goodwill Ambassador,Associate,Onsite
https://www.linkedin.com/jobs/view/surgical-technologist-at-saint-michael-s-medical-center-3740434053,2024-01-19 14:39:32.95564+00,t,t,f,Surgical Technologist,Saint Michael's Medical Center,"Newark, NJ",1/14/2024,Bound Brook,United States,Surgical Technician,Mid senior,Onsite
https://www.linkedin.com/jobs/view/merrill-financial-solutions-advisor-oregon-sw-washington-market-at-bank-of-america-3744300206,2024-01-19 14:39:33.573261+00,t,t,f,Financial Advisor,Bank of America,"Vancouver, WA",1/16/2024,Beaverton,United States,Financial Planner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/rad-tech-at-virginia-mason-franciscan-health-3628340333,2024-01-19 14:39:33.898387+00,t,t,f,Radiologic Technologist,Virginia Mason Franciscan Health,"Seattle, WA",1/13/2024,Summit,United States,Radiologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sous-chef-redwood-city-at-doordash-3805707129,2024-01-19 14:39:34.178023+00,t,t,f,Sous Chef,DoorDash,"Redwood City, CA",1/14/2024,Union City,United States,Sous Chef,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-software-engineer-backend-at-walmart-3760950841,2024-01-19 09:45:09.215838+00,f,f,f,Senior Software Engineer,Walmart,"Reston, VA",1/15/2024,Bethesda-Chevy Chase,United States,Chief Computer Programmer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/online-esl-teacher-at-jobs-for-humanity-3806305198,2024-01-19 09:45:09.215838+00,f,f,f, ESL Teacher,Jobs for Humanity,"Minnetonka, MN",1/17/2024,South Saint Paul,United States,Teacher Music,Mid senior,Onsite
https://www.linkedin.com/jobs/view/keyholder-at-torrid-3712384620,2024-01-19 09:45:09.215838+00,f,f,f,Keyholder,Torrid,"Brandon, FL",1/16/2024,Tampa,United States,Reader,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/finance-manager-film-at-handle-recruitment-3806167441,2024-01-19 09:45:09.215838+00,f,f,f,Finance Manager,Handle Recruitment,"City of London, England, United Kingdom",1/16/2024,Greater London,United Kingdom,Script Reader,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/health-and-fitness-instructor-at-hilton-3805938900,2024-01-19 09:45:09.215838+00,f,f,f, Fitness Instructor,Hilton,"Tewkesbury, England, United Kingdom",1/16/2024,Cheltenham,United Kingdom,Instructor Sports,Mid senior,Onsite
https://www.linkedin.com/jobs/view/financial-advisor-at-first-command-financial-services-inc-3416333234,2024-01-19 09:45:09.215838+00,f,f,f,Financial Advisor,"First Command Financial Services, Inc.","Pittsburgh, PA",1/16/2024,New Kensington,United States,Financial Planner,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ophthalmologist-needed-in-arkansas-at-the-eye-group-3791064818,2024-01-19 09:45:09.215838+00,f,f,f,Ophthalmologist,The Eye Group,"Fort Smith, AR",1/16/2024,Arkansas,United States,Ophthalmologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/behavioral-health-counselor-travel-position-at-sandstone-care-3803493931,2024-01-21 07:40:11.491706+00,t,t,f,Behavioral Health Counselor,Sandstone Care,"Chantilly, VA",1/13/2024,Manassas,United States,Clinical Therapist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/customer-service-representative-associate-r206-at-byram-healthcare-3797878201,2024-01-21 07:40:11.665478+00,t,t,f,Customer Service Associate,Byram Healthcare,"Downers Grove, IL",1/14/2024,Bristol,United States,Service Representative,Mid senior,Onsite
https://www.linkedin.com/jobs/view/rn-transitional-care-at-providence-at-health-ecareers-3795559609,2024-01-21 07:40:12.453437+00,t,t,f,Registered Nurse,Health eCareers,"Anchorage, AK",1/16/2024,Alaska,United States,Nurse Private Duty,Mid senior,Onsite
https://au.linkedin.com/jobs/view/facilities-manager-group-421-at-woolworths-group-3737457183,2024-01-21 07:40:33.153713+00,t,t,f,Facilities Manager,Woolworths Group,"Sydney, New South Wales, Australia",1/14/2024,Sydney,Australia,Supervisor Cleaning,Mid senior,Onsite
https://www.linkedin.com/jobs/view/wastewater-project-manager-at-triax-engineering-llc-3792560132,2024-01-19 09:45:09.215838+00,f,f,f,Wastewater Project Manager,"Triax Engineering, LLC","Phoenix, AZ",1/16/2024,Canyon,United States,Manager Contracts,Mid senior,Onsite
https://www.linkedin.com/jobs/view/medical-support-assistant-at-u-s-department-of-veterans-affairs-3807053136,2024-01-19 09:45:09.215838+00,f,f,f,Medical Support Assistant,U.S. Department of Veterans Affairs,"Golden, CO",1/16/2024,Colorado,United States,Receipt-And-Report Clerk,Mid senior,Onsite
